Transcript	Gene	Sample	Coverage	FPKM	TPM
TCONS_00004856	XLOC_003194	q1	12.042891	25.098022	213.067749
TCONS_00004856	XLOC_003194	q2	20.392433	43.226398	332.382812
TCONS_00004856	XLOC_003194	q3	17.156525	33.278755	302.807861
TCONS_00004857	XLOC_003195	q1	0.159921	0.333283	2.829384
TCONS_00004858	XLOC_003197	q1	9.850949	20.529900	174.287018
TCONS_00004858	XLOC_003197	q2	12.628435	26.768835	205.834900
TCONS_00004858	XLOC_003197	q3	14.523734	28.171894	256.339874
TCONS_00008053	XLOC_003095	q2	0.110960	0.235205	1.808571
TCONS_00008054	XLOC_003097	q2	0.535019	1.134094	8.720443
TCONS_00025093	XLOC_009168	q3	0.109679	0.212746	1.935803
TCONS_00026006	XLOC_010109	q1	0.537452	1.120079	9.508827
TCONS_00026007	XLOC_010110	q1	0.157140	0.327487	2.780179
TCONS_00026007	XLOC_010110	q2	0.630102	1.335643	10.270226
