Gene	Transcript	Exons
Ano1	TCONS_00004856	19
Ano1	TCONS_00004857	2
Ano1	TCONS_00004858	7
Ano1	TCONS_00008054	15
Ano1	TCONS_00008053	2
Ano8	TCONS_00026007	4
Ano8	TCONS_00025093	4
Ano8	TCONS_00026006	1
