Rank	Gene	Transcript_ID	Genomic_Span_bp	Exon_Count	Mean_TPM	Relative_Abundance_Percent	PF04547_Anoctamin_Domain
1	Ano1	TCONS_00004856	148182	26	282.75	55.63	Yes
2	Ano1	TCONS_00004857	148160	27	2.83	0.56	Yes
3	Ano1	TCONS_00004858	148160	28	212.15	41.74	Yes
4	Ano1	TCONS_00008054	146823	27	8.72	1.72	Yes
5	Ano1	TCONS_00008053	90681	26	1.81	0.36	Yes
6	Ano8	TCONS_00026007	8958	17	6.53	36.31	Yes
7	Ano8	TCONS_00025093	8892	16	1.94	10.77	Yes
8	Ano8	TCONS_00026006	8892	15	9.51	52.92	Yes
